id,"partid","session","color",type,number_of_clicks,exploded,trial,payoff
1,"p0bsq4m18n","53vrm8t9q9rbj2dic5cf117o95","blue",64,20,0,1,20.0000
2,"p0bsq4m18n","53vrm8t9q9rbj2dic5cf117o95","blue",64,16,0,2,16.0000
3,"p0bsq4m18n","53vrm8t9q9rbj2dic5cf117o95","blue",64,20,0,3,20.0000
4,"p0bsq4m18n","53vrm8t9q9rbj2dic5cf117o95","blue",64,14,0,4,14.0000
5,"p0bsq4m18n","53vrm8t9q9rbj2dic5cf117o95","blue",64,14,1,5,0.0000
6,"p0bsq4m18n","53vrm8t9q9rbj2dic5cf117o95","blue",64,15,0,6,15.0000
7,"p0bsq4m18n","53vrm8t9q9rbj2dic5cf117o95","blue",64,18,0,7,18.0000
8,"p0bsq4m18n","53vrm8t9q9rbj2dic5cf117o95","blue",64,15,0,8,15.0000
9,"p0bsq4m18n","53vrm8t9q9rbj2dic5cf117o95","blue",64,26,0,9,26.0000
10,"p0bsq4m18n","53vrm8t9q9rbj2dic5cf117o95","blue",64,5,1,10,0.0000
11,"p0bsq4m18n","53vrm8t9q9rbj2dic5cf117o95","blue",64,17,0,11,17.0000
12,"p0bsq4m18n","53vrm8t9q9rbj2dic5cf117o95","blue",64,17,0,12,17.0000
13,"p0bsq4m18n","53vrm8t9q9rbj2dic5cf117o95","blue",64,16,0,13,16.0000
14,"p0bsq4m18n","53vrm8t9q9rbj2dic5cf117o95","blue",64,22,0,14,22.0000
15,"p0bsq4m18n","53vrm8t9q9rbj2dic5cf117o95","blue",64,1,1,15,0.0000
16,"p0bsq4m18n","53vrm8t9q9rbj2dic5cf117o95","blue",64,20,0,16,20.0000
17,"p0bsq4m18n","53vrm8t9q9rbj2dic5cf117o95","blue",64,19,0,17,19.0000
18,"p0bsq4m18n","53vrm8t9q9rbj2dic5cf117o95","blue",64,17,0,18,17.0000
19,"p0bsq4m18n","53vrm8t9q9rbj2dic5cf117o95","blue",64,21,0,19,21.0000
20,"p0bsq4m18n","53vrm8t9q9rbj2dic5cf117o95","blue",64,5,1,20,0.0000
21,"p0bsq4m18n","53vrm8t9q9rbj2dic5cf117o95","blue",64,28,0,21,28.0000
22,"p0bsq4m18n","53vrm8t9q9rbj2dic5cf117o95","blue",64,29,0,22,29.0000
23,"p0bsq4m18n","53vrm8t9q9rbj2dic5cf117o95","blue",64,13,1,23,0.0000
24,"p0bsq4m18n","53vrm8t9q9rbj2dic5cf117o95","blue",64,33,0,24,33.0000
25,"p0bsq4m18n","53vrm8t9q9rbj2dic5cf117o95","blue",64,33,0,25,33.0000
26,"p0bsq4m18n","53vrm8t9q9rbj2dic5cf117o95","blue",64,19,1,26,0.0000
27,"p0bsq4m18n","53vrm8t9q9rbj2dic5cf117o95","blue",64,14,1,27,0.0000
28,"p0bsq4m18n","53vrm8t9q9rbj2dic5cf117o95","blue",64,29,0,28,29.0000
29,"p0bsq4m18n","53vrm8t9q9rbj2dic5cf117o95","blue",64,23,1,29,0.0000
30,"p0bsq4m18n","53vrm8t9q9rbj2dic5cf117o95","blue",64,5,1,30,0.0000
31,"pqh0a40b2a","4vfa9frffq84fgmkggfq4578k0","blue",64,25,0,1,25.0000
32,"pqh0a40b2a","4vfa9frffq84fgmkggfq4578k0","blue",64,23,0,2,23.0000
33,"pqh0a40b2a","4vfa9frffq84fgmkggfq4578k0","blue",64,21,0,3,21.0000
34,"pqh0a40b2a","4vfa9frffq84fgmkggfq4578k0","blue",64,26,1,4,0.0000
35,"pqh0a40b2a","4vfa9frffq84fgmkggfq4578k0","blue",64,22,0,5,22.0000
36,"pqh0a40b2a","4vfa9frffq84fgmkggfq4578k0","blue",64,24,0,6,24.0000
37,"pqh0a40b2a","4vfa9frffq84fgmkggfq4578k0","blue",64,23,0,7,23.0000
38,"pqh0a40b2a","4vfa9frffq84fgmkggfq4578k0","blue",64,21,0,8,21.0000
39,"pqh0a40b2a","4vfa9frffq84fgmkggfq4578k0","blue",64,18,1,9,0.0000
40,"pqh0a40b2a","4vfa9frffq84fgmkggfq4578k0","blue",64,19,0,10,19.0000
41,"pqh0a40b2a","4vfa9frffq84fgmkggfq4578k0","blue",64,21,0,11,21.0000
42,"pqh0a40b2a","4vfa9frffq84fgmkggfq4578k0","blue",64,22,0,12,22.0000
43,"pqh0a40b2a","4vfa9frffq84fgmkggfq4578k0","blue",64,20,0,13,20.0000
44,"pqh0a40b2a","4vfa9frffq84fgmkggfq4578k0","blue",64,22,0,14,22.0000
45,"pqh0a40b2a","4vfa9frffq84fgmkggfq4578k0","blue",64,21,0,15,21.0000
46,"pqh0a40b2a","4vfa9frffq84fgmkggfq4578k0","blue",64,20,0,16,20.0000
47,"pqh0a40b2a","4vfa9frffq84fgmkggfq4578k0","blue",64,21,0,17,21.0000
48,"pqh0a40b2a","4vfa9frffq84fgmkggfq4578k0","blue",64,22,0,18,22.0000
49,"pqh0a40b2a","4vfa9frffq84fgmkggfq4578k0","blue",64,20,0,19,20.0000
50,"pqh0a40b2a","4vfa9frffq84fgmkggfq4578k0","blue",64,20,0,20,20.0000
51,"pqh0a40b2a","4vfa9frffq84fgmkggfq4578k0","blue",64,20,0,21,20.0000
52,"pqh0a40b2a","4vfa9frffq84fgmkggfq4578k0","blue",64,19,0,22,19.0000
53,"pqh0a40b2a","4vfa9frffq84fgmkggfq4578k0","blue",64,19,0,23,19.0000
54,"pqh0a40b2a","4vfa9frffq84fgmkggfq4578k0","blue",64,22,0,24,22.0000
55,"pqh0a40b2a","4vfa9frffq84fgmkggfq4578k0","blue",64,21,0,25,21.0000
56,"pqh0a40b2a","4vfa9frffq84fgmkggfq4578k0","blue",64,20,0,26,20.0000
57,"pqh0a40b2a","4vfa9frffq84fgmkggfq4578k0","blue",64,19,0,27,19.0000
58,"pqh0a40b2a","4vfa9frffq84fgmkggfq4578k0","blue",64,19,0,28,19.0000
59,"pqh0a40b2a","4vfa9frffq84fgmkggfq4578k0","blue",64,20,0,29,20.0000
60,"pqh0a40b2a","4vfa9frffq84fgmkggfq4578k0","blue",64,20,0,30,20.0000
61,"pn0skapa6g","5ksgqbh6prgrdpk5n9odnsvs90","blue",64,18,0,1,18.0000
62,"pn0skapa6g","5ksgqbh6prgrdpk5n9odnsvs90","blue",64,18,0,2,18.0000
63,"pn0skapa6g","5ksgqbh6prgrdpk5n9odnsvs90","blue",64,18,0,3,18.0000
64,"p497cn32q0","b0pff4r4fk0j3j9kpm6b6ll244","blue",64,21,1,1,0.0000
65,"pn0skapa6g","5ksgqbh6prgrdpk5n9odnsvs90","blue",64,19,0,4,19.0000
66,"pvhskq4s3u","16pc8c7pgk64k778o3pog112s1","blue",64,25,1,1,0.0000
67,"p497cn32q0","b0pff4r4fk0j3j9kpm6b6ll244","blue",64,22,0,2,22.0000
68,"pn0skapa6g","5ksgqbh6prgrdpk5n9odnsvs90","blue",64,18,0,5,18.0000
69,"p497cn32q0","b0pff4r4fk0j3j9kpm6b6ll244","blue",64,27,0,3,27.0000
70,"pvhskq4s3u","16pc8c7pgk64k778o3pog112s1","blue",64,20,0,2,20.0000
71,"pn0skapa6g","5ksgqbh6prgrdpk5n9odnsvs90","blue",64,19,0,6,19.0000
72,"pvhskq4s3u","16pc8c7pgk64k778o3pog112s1","blue",64,20,0,3,20.0000
73,"p497cn32q0","b0pff4r4fk0j3j9kpm6b6ll244","blue",64,36,0,4,36.0000
74,"p497cn32q0","b0pff4r4fk0j3j9kpm6b6ll244","blue",64,14,1,5,0.0000
75,"pn0skapa6g","5ksgqbh6prgrdpk5n9odnsvs90","blue",64,19,0,7,19.0000
76,"pvhskq4s3u","16pc8c7pgk64k778o3pog112s1","blue",64,20,0,4,20.0000
77,"p0b51o7qmr","lq7251lq9fcidl0vd6t8evpqh4","blue",64,10,0,1,10.0000
78,"p497cn32q0","b0pff4r4fk0j3j9kpm6b6ll244","blue",64,29,0,6,29.0000
79,"p0b51o7qmr","lq7251lq9fcidl0vd6t8evpqh4","blue",64,12,1,2,0.0000
80,"pvhskq4s3u","16pc8c7pgk64k778o3pog112s1","blue",64,20,0,5,20.0000
81,"pn0skapa6g","5ksgqbh6prgrdpk5n9odnsvs90","blue",64,20,0,8,20.0000
82,"p0b51o7qmr","lq7251lq9fcidl0vd6t8evpqh4","blue",64,10,0,3,10.0000
83,"pvhskq4s3u","16pc8c7pgk64k778o3pog112s1","blue",64,20,0,6,20.0000
84,"pn0skapa6g","5ksgqbh6prgrdpk5n9odnsvs90","blue",64,18,1,9,0.0000
85,"pqk04quhs0","fvbqpircj9jq9r64bif767hbr3","blue",64,18,0,1,18.0000
86,"p0b51o7qmr","lq7251lq9fcidl0vd6t8evpqh4","blue",64,12,0,4,12.0000
87,"p497cn32q0","b0pff4r4fk0j3j9kpm6b6ll244","blue",64,40,0,7,40.0000
88,"pqk04quhs0","fvbqpircj9jq9r64bif767hbr3","blue",64,29,1,2,0.0000
89,"p0b51o7qmr","lq7251lq9fcidl0vd6t8evpqh4","blue",64,14,0,5,14.0000
90,"pvhskq4s3u","16pc8c7pgk64k778o3pog112s1","blue",64,20,0,7,20.0000
91,"pn0skapa6g","5ksgqbh6prgrdpk5n9odnsvs90","blue",64,19,0,10,19.0000
92,"p497cn32q0","b0pff4r4fk0j3j9kpm6b6ll244","blue",64,38,0,8,38.0000
93,"p0b51o7qmr","lq7251lq9fcidl0vd6t8evpqh4","blue",64,7,1,6,0.0000
94,"pqk04quhs0","fvbqpircj9jq9r64bif767hbr3","blue",64,20,0,3,20.0000
95,"pvhskq4s3u","16pc8c7pgk64k778o3pog112s1","blue",64,20,0,8,20.0000
96,"p0b51o7qmr","lq7251lq9fcidl0vd6t8evpqh4","blue",64,10,1,7,0.0000
97,"pn0skapa6g","5ksgqbh6prgrdpk5n9odnsvs90","blue",64,22,0,11,22.0000
98,"p0b51o7qmr","lq7251lq9fcidl0vd6t8evpqh4","blue",64,10,0,8,10.0000
99,"pvhskq4s3u","16pc8c7pgk64k778o3pog112s1","blue",64,18,1,9,0.0000
100,"p497cn32q0","b0pff4r4fk0j3j9kpm6b6ll244","blue",64,33,1,9,0.0000
101,"p497cn32q0","b0pff4r4fk0j3j9kpm6b6ll244","blue",64,5,1,10,0.0000
102,"pn0skapa6g","5ksgqbh6prgrdpk5n9odnsvs90","blue",64,21,0,12,21.0000
103,"pqk04quhs0","fvbqpircj9jq9r64bif767hbr3","blue",64,22,0,4,22.0000
104,"p0b51o7qmr","lq7251lq9fcidl0vd6t8evpqh4","blue",64,12,0,9,12.0000
105,"pvhskq4s3u","16pc8c7pgk64k778o3pog112s1","blue",64,20,0,10,20.0000
106,"p497cn32q0","b0pff4r4fk0j3j9kpm6b6ll244","blue",64,29,1,11,0.0000
107,"p0b51o7qmr","lq7251lq9fcidl0vd6t8evpqh4","blue",64,14,0,10,14.0000
108,"pqk04quhs0","fvbqpircj9jq9r64bif767hbr3","blue",64,22,0,5,22.0000
109,"pn0skapa6g","5ksgqbh6prgrdpk5n9odnsvs90","blue",64,21,0,13,21.0000
110,"pvhskq4s3u","16pc8c7pgk64k778o3pog112s1","blue",64,20,0,11,20.0000
111,"p0b51o7qmr","lq7251lq9fcidl0vd6t8evpqh4","blue",64,16,0,11,16.0000
112,"pqk04quhs0","fvbqpircj9jq9r64bif767hbr3","blue",64,23,0,6,23.0000
113,"p497cn32q0","b0pff4r4fk0j3j9kpm6b6ll244","blue",64,37,0,12,37.0000
114,"pvhskq4s3u","16pc8c7pgk64k778o3pog112s1","blue",64,12,1,12,0.0000
115,"ptqtu2doa0","n7sh3pg4kqpne11nv11j9frkf6","blue",64,21,1,1,0.0000
